epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.16486,2.95479,15.8922,2.22436,0.13068,0.3,0.13701,0.04173,2.1722,14.0098,1.86898,0.00026,0.00026,0.00026
2,7.51552,2.08201,5.21932,1.54989,0.26485,0.55,0.28932,0.09236,2.36012,17.5139,1.86328,0.000534654,0.000534654,0.000534654
3,10.5762,2.12385,3.767,1.50781,0.04412,0.3,0.04003,0.01108,2.71169,20.6267,3.27052,0.000803764,0.000803764,0.000803764
4,13.5807,2.13598,2.79257,1.55759,0.00157,0.1,0.00083,0.00013,4.35563,373.275,4.04563,0.00106733,0.00106733,0.00106733
5,16.5255,2.27478,2.63143,1.6746,0.00504,0.65,0.004,0.00131,2.79201,126.763,3.03526,0.00132535,0.00132535,0.00132535
6,19.4818,2.36676,2.6157,1.77912,0.00744,0.25,0.00457,0.0015,3.34226,15.6509,3.39542,0.00157783,0.00157783,0.00157783
7,22.3558,2.38237,2.39026,1.75342,0.03771,0.35,0.03049,0.00707,2.70572,39.8016,3.1858,0.00182476,0.00182476,0.00182476
8,25.2675,2.3174,2.19197,1.73442,0.0034,0.75,0.003,0.00087,2.68342,inf,4.26557,0.0018614,0.0018614,0.0018614
9,28.1304,2.34656,2.12559,1.7206,0.00641,0.65,0.00547,0.00124,3.18111,97.9819,3.05298,0.0018416,0.0018416,0.0018416
10,30.9858,2.40492,2.10492,1.84342,0.33735,0.5,0.26852,0.05888,2.78794,6.08531,2.84185,0.0018218,0.0018218,0.0018218
11,33.8973,2.29211,1.98686,1.72641,0.49646,0.65,0.60941,0.17224,2.39997,2.70204,2.53636,0.001802,0.001802,0.001802
12,36.8104,2.3238,1.93927,1.75639,0.2456,0.3,0.16131,0.05094,3.15742,3.48764,3.01853,0.0017822,0.0017822,0.0017822
13,39.7756,2.24329,1.95513,1.77716,0.0393,0.12292,0.01237,0.00215,4.30022,4.34554,4.86587,0.0017624,0.0017624,0.0017624
14,42.6739,2.16438,1.91949,1.65011,0.26408,0.48473,0.28253,0.0727,3.04327,2.73496,2.67733,0.0017426,0.0017426,0.0017426
15,45.553,2.1363,1.84387,1.60817,0.52676,0.55,0.50332,0.17941,2.30638,2.1355,1.86674,0.0017228,0.0017228,0.0017228
